 >TARCYLCAP  cylinder with end-caps: Length= 25.0000 Diameter= 10.0000
      2552 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -13.00000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    337  12  -2  -2 1 1 1
    338  13  -2  -2 1 1 1
    339  14  -2  -2 1 1 1
    340  15  -2  -2 1 1 1
    341  16  -2  -2 1 1 1
    342  17  -2  -2 1 1 1
    343  18  -2  -2 1 1 1
    344  19  -2  -2 1 1 1
    345  20  -2  -2 1 1 1
    346  21  -2  -2 1 1 1
    347  22  -2  -2 1 1 1
    348  23  -2  -2 1 1 1
    349  24  -2  -2 1 1 1
    350  25  -2  -2 1 1 1
    351   1  -1  -2 1 1 1
    352   2  -1  -2 1 1 1
    353   3  -1  -2 1 1 1
    354   4  -1  -2 1 1 1
    355   5  -1  -2 1 1 1
    356   6  -1  -2 1 1 1
    357   7  -1  -2 1 1 1
    358   8  -1  -2 1 1 1
    359   9  -1  -2 1 1 1
    360  10  -1  -2 1 1 1
    361  11  -1  -2 1 1 1
    362  12  -1  -2 1 1 1
    363  13  -1  -2 1 1 1
    364  14  -1  -2 1 1 1
    365  15  -1  -2 1 1 1
    366  16  -1  -2 1 1 1
    367  17  -1  -2 1 1 1
    368  18  -1  -2 1 1 1
    369  19  -1  -2 1 1 1
    370  20  -1  -2 1 1 1
    371  21  -1  -2 1 1 1
    372  22  -1  -2 1 1 1
    373  23  -1  -2 1 1 1
    374  24  -1  -2 1 1 1
    375  25  -1  -2 1 1 1
    376   1   0  -2 1 1 1
    377   2   0  -2 1 1 1
    378   3   0  -2 1 1 1
    379   4   0  -2 1 1 1
    380   5   0  -2 1 1 1
    381   6   0  -2 1 1 1
    382   7   0  -2 1 1 1
    383   8   0  -2 1 1 1
    384   9   0  -2 1 1 1
    385  10   0  -2 1 1 1
    386  11   0  -2 1 1 1
    387  12   0  -2 1 1 1
    388  13   0  -2 1 1 1
    389  14   0  -2 1 1 1
    390  15   0  -2 1 1 1
    391  16   0  -2 1 1 1
    392  17   0  -2 1 1 1
    393  18   0  -2 1 1 1
    394  19   0  -2 1 1 1
    395  20   0  -2 1 1 1
    396  21   0  -2 1 1 1
    397  22   0  -2 1 1 1
    398  23   0  -2 1 1 1
    399  24   0  -2 1 1 1
    400  25   0  -2 1 1 1
    401   1   1  -2 1 1 1
    402   2   1  -2 1 1 1
    403   3   1  -2 1 1 1
    404   4   1  -2 1 1 1
    405   5   1  -2 1 1 1
    406   6   1  -2 1 1 1
    407   7   1  -2 1 1 1
    408   8   1  -2 1 1 1
    409   9   1  -2 1 1 1
    410  10   1  -2 1 1 1
    411  11   1  -2 1 1 1
    412  12   1  -2 1 1 1
    413  13   1  -2 1 1 1
    414  14   1  -2 1 1 1
    415  15   1  -2 1 1 1
    416  16   1  -2 1 1 1
    417  17   1  -2 1 1 1
    418  18   1  -2 1 1 1
    419  19   1  -2 1 1 1
    420  20   1  -2 1 1 1
    421  21   1  -2 1 1 1
    422  22   1  -2 1 1 1
    423  23   1  -2 1 1 1
    424  24   1  -2 1 1 1
    425  25   1  -2 1 1 1
    426   1   2  -2 1 1 1
    427   2   2  -2 1 1 1
    428   3   2  -2 1 1 1
    429   4   2  -2 1 1 1
    430   5   2  -2 1 1 1
    431   6   2  -2 1 1 1
    432   7   2  -2 1 1 1
    433   8   2  -2 1 1 1
    434   9   2  -2 1 1 1
    435  10   2  -2 1 1 1
    436  11   2  -2 1 1 1
    437  12   2  -2 1 1 1
    438  13   2  -2 1 1 1
    439  14   2  -2 1 1 1
    440  15   2  -2 1 1 1
    441  16   2  -2 1 1 1
    442  17   2  -2 1 1 1
    443  18   2  -2 1 1 1
    444  19   2  -2 1 1 1
    445  20   2  -2 1 1 1
    446  21   2  -2 1 1 1
    447  22   2  -2 1 1 1
    448  23   2  -2 1 1 1
    449  24   2  -2 1 1 1
    450  25   2  -2 1 1 1
    451   1   3  -2 1 1 1
    452   2   3  -2 1 1 1
    453   3   3  -2 1 1 1
    454   4   3  -2 1 1 1
    455   5   3  -2 1 1 1
    456   6   3  -2 1 1 1
    457   7   3  -2 1 1 1
    458   8   3  -2 1 1 1
    459   9   3  -2 1 1 1
    460  10   3  -2 1 1 1
    461  11   3  -2 1 1 1
    462  12   3  -2 1 1 1
    463  13   3  -2 1 1 1
    464  14   3  -2 1 1 1
    465  15   3  -2 1 1 1
