 >TARCYLCAP  cylinder with end-caps: Length= 25.0000 Diameter= 10.0000
      2552 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -13.00000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
   2430   0   5   2 1 1 1
   2431  26   5   2 1 1 1
   2432  27   5   2 1 1 1
   2433  -2  -3   3 1 1 1
   2434  -1  -3   3 1 1 1
   2435   0  -3   3 1 1 1
   2436  26  -3   3 1 1 1
   2437  27  -3   3 1 1 1
   2438  28  -3   3 1 1 1
   2439  -3  -2   3 1 1 1
   2440  -2  -2   3 1 1 1
   2441  -1  -2   3 1 1 1
   2442   0  -2   3 1 1 1
   2443  26  -2   3 1 1 1
   2444  27  -2   3 1 1 1
   2445  28  -2   3 1 1 1
   2446  29  -2   3 1 1 1
   2447  -3  -1   3 1 1 1
   2448  -2  -1   3 1 1 1
   2449  -1  -1   3 1 1 1
   2450   0  -1   3 1 1 1
   2451  26  -1   3 1 1 1
   2452  27  -1   3 1 1 1
   2453  28  -1   3 1 1 1
   2454  29  -1   3 1 1 1
   2455  -3   0   3 1 1 1
   2456  -2   0   3 1 1 1
   2457  -1   0   3 1 1 1
   2458   0   0   3 1 1 1
   2459  26   0   3 1 1 1
   2460  27   0   3 1 1 1
   2461  28   0   3 1 1 1
   2462  29   0   3 1 1 1
   2463  -3   1   3 1 1 1
   2464  -2   1   3 1 1 1
   2465  -1   1   3 1 1 1
   2466   0   1   3 1 1 1
   2467  26   1   3 1 1 1
   2468  27   1   3 1 1 1
   2469  28   1   3 1 1 1
   2470  29   1   3 1 1 1
   2471  -3   2   3 1 1 1
   2472  -2   2   3 1 1 1
   2473  -1   2   3 1 1 1
   2474   0   2   3 1 1 1
   2475  26   2   3 1 1 1
   2476  27   2   3 1 1 1
   2477  28   2   3 1 1 1
   2478  29   2   3 1 1 1
   2479  -3   3   3 1 1 1
   2480  -2   3   3 1 1 1
   2481  -1   3   3 1 1 1
   2482   0   3   3 1 1 1
   2483  26   3   3 1 1 1
   2484  27   3   3 1 1 1
   2485  28   3   3 1 1 1
   2486  29   3   3 1 1 1
   2487  -2   4   3 1 1 1
   2488  -1   4   3 1 1 1
   2489   0   4   3 1 1 1
   2490  26   4   3 1 1 1
   2491  27   4   3 1 1 1
   2492  28   4   3 1 1 1
   2493   0  -3   4 1 1 1
   2494  26  -3   4 1 1 1
   2495  -2  -2   4 1 1 1
   2496  -1  -2   4 1 1 1
   2497   0  -2   4 1 1 1
   2498  26  -2   4 1 1 1
   2499  27  -2   4 1 1 1
   2500  28  -2   4 1 1 1
   2501  -2  -1   4 1 1 1
   2502  -1  -1   4 1 1 1
   2503   0  -1   4 1 1 1
   2504  26  -1   4 1 1 1
   2505  27  -1   4 1 1 1
   2506  28  -1   4 1 1 1
   2507  -3   0   4 1 1 1
   2508  -2   0   4 1 1 1
   2509  -1   0   4 1 1 1
   2510   0   0   4 1 1 1
   2511  26   0   4 1 1 1
   2512  27   0   4 1 1 1
   2513  28   0   4 1 1 1
   2514  29   0   4 1 1 1
   2515  -3   1   4 1 1 1
   2516  -2   1   4 1 1 1
   2517  -1   1   4 1 1 1
   2518   0   1   4 1 1 1
   2519  26   1   4 1 1 1
   2520  27   1   4 1 1 1
   2521  28   1   4 1 1 1
   2522  29   1   4 1 1 1
   2523  -2   2   4 1 1 1
   2524  -1   2   4 1 1 1
   2525   0   2   4 1 1 1
   2526  26   2   4 1 1 1
   2527  27   2   4 1 1 1
   2528  28   2   4 1 1 1
   2529  -2   3   4 1 1 1
   2530  -1   3   4 1 1 1
   2531   0   3   4 1 1 1
   2532  26   3   4 1 1 1
   2533  27   3   4 1 1 1
   2534  28   3   4 1 1 1
   2535   0   4   4 1 1 1
   2536  26   4   4 1 1 1
   2537  -1  -1   5 1 1 1
   2538   0  -1   5 1 1 1
   2539  26  -1   5 1 1 1
   2540  27  -1   5 1 1 1
   2541  -1   0   5 1 1 1
   2542   0   0   5 1 1 1
   2543  26   0   5 1 1 1
   2544  27   0   5 1 1 1
   2545  -1   1   5 1 1 1
   2546   0   1   5 1 1 1
   2547  26   1   5 1 1 1
   2548  27   1   5 1 1 1
   2549  -1   2   5 1 1 1
   2550   0   2   5 1 1 1
   2551  26   2   5 1 1 1
   2552  27   2   5 1 1 1
